quarter,UNRATE,PSAVERT,CORCACBS,PCE_QoQ,REVOLSL_QoQ,t
2016Q1,4.9,5.866666666666667,1.83,0.8001154395778087,-0.2638102647308571,124
2016Q2,4.933333333333334,5.233333333333333,1.82,1.1272548760844714,2.010026174300528,125
2016Q3,4.9,5.1,1.88,1.036837641058952,1.7270250761910688,126
2016Q4,4.766666666666667,5.233333333333333,2.11,0.9707518042777252,1.055330147755562,127
2017Q1,4.566666666666666,5.5,2.19,1.347994159191046,1.462109025138858,128
2017Q2,4.366666666666667,6.0,2.11,0.6956810032136218,1.2143769190734233,129
2017Q3,4.333333333333333,6.0,2.21,1.0281515989698065,1.191643152069943,130
2017Q4,4.166666666666667,5.533333333333334,2.23,1.684288985532234,1.9266612565523644,131
2018Q1,4.033333333333333,5.8,2.22,1.4190108832352166,1.3474686192724403,132
2018Q2,3.9333333333333336,6.1000000000000005,2.22,1.0580373459012191,0.0389031602988865,133
2018Q3,3.766666666666667,6.633333333333333,2.28,0.7954114813720992,1.4043313499357168,134
2018Q4,3.8333333333333335,7.2,2.25,0.6903598059077254,1.1311370376194674,135
2019Q1,3.8666666666666663,8.266666666666667,2.24,0.361070007914499,1.0085377034444676,136
2019Q2,3.633333333333333,7.333333333333333,2.25,1.4067640468963916,0.8528576690517653,137
2019Q3,3.6,6.9,2.35,1.3675458348368252,1.0694194810744406,138
2019Q4,3.6,6.733333333333333,2.3,1.044819642813799,0.1854227395488905,139
2020Q1,3.8333333333333335,8.966666666666667,2.28,-1.4033507395508238,-1.0582279782179072,140
2020Q2,13.0,24.4,2.25,-9.551738200164015,-8.433683980147677,141
2020Q3,8.799999999999999,14.933333333333332,1.96,9.426339409878535,-2.202628624483616,142
2020Q4,6.766666666666667,12.066666666666668,1.5,1.8795818140294076,-0.9804701848890928,143
2021Q1,6.233333333333333,19.23333333333333,1.53,3.376951469474143,-0.2461566096297218,144
2021Q2,5.933333333333334,10.0,1.22,4.841322503657963,1.3745917052728984,145
2021Q3,5.066666666666666,8.266666666666667,0.97,2.146453598317599,3.0023521165823297,146
2021Q4,4.2,6.233333333333333,0.91,2.726507321429139,2.732522293466744,147
2022Q1,3.8333333333333335,3.3000000000000003,0.99,2.111993522659894,3.3746437013197905,148
2022Q2,3.633333333333333,2.1666666666666665,1.08,2.4652233789879574,4.210671564585233,149
2022Q3,3.533333333333333,3.1,1.32,1.535918957119442,3.4020179393772665,150
2022Q4,3.5666666666666664,3.4333333333333336,1.63,1.2896472052517538,3.2128550368714315,151
2023Q1,3.533333333333333,4.7,1.76,2.1737255152821437,2.4294809748665718,152
2023Q2,3.533333333333333,5.066666666666666,2.07,0.9654498261078004,2.593512301515233,153
2023Q3,3.6666666666666665,4.566666666666666,2.39,1.2934828288825528,2.124880905554072,154
2023Q4,3.8,4.5,2.64,1.265837472140241,1.949233811200557,155
2024Q1,3.8333333333333335,5.366666666666667,2.79,1.3197087844925903,1.874853315762337,156
2024Q2,4.0,4.933333333333334,2.91,1.31894771452572,0.8774163123961287,157
2024Q3,4.166666666666667,4.1000000000000005,3.01,1.2910786882528669,0.7754211428910196,158
2024Q4,4.133333333333333,3.8333333333333335,2.97,1.5773851749754542,-0.8021748846369192,159
2025Q1,4.1000000000000005,4.333333333333333,2.98,1.0125242866486417,-2.0763646491822385,160
2025Q2,4.166666666666667,4.633333333333334,2.87,0.8869917417834827,-0.1843063078927898,161
